iter	Passed	Remaining
544	13723	11457
545	13749	11432
546	13774	11407
547	13802	11384
548	13829	11361
549	13857	11338
550	13885	11315
551	13915	11293
552	13946	11273
553	13975	11251
554	14004	11228
555	14033	11206
556	14061	11183
557	14087	11159
558	14116	11136
559	14143	11113
560	14170	11089
561	14197	11065
562	14224	11041
563	14252	11017
564	14277	10992
565	14301	10966
566	14325	10940
567	14350	10914
568	14375	10889
569	14400	10863
570	14423	10836
571	14447	10810
572	14472	10784
573	14496	10758
574	14520	10732
575	14544	10706
576	14568	10680
577	14593	10654
578	14618	10629
579	14643	10603
580	14667	10577
581	14691	10551
582	14719	10528
583	14748	10505
584	14777	10483
585	14803	10458
586	14830	10434
587	14855	10408
588	14879	10383
589	14905	10357
590	14929	10332
591	14954	10306
592	14980	10281
593	15005	10255
594	15029	10230
595	15054	10204
596	15079	10179
597	15100	10151
598	15123	10124
599	15146	10097
600	15169	10070
601	15192	10044
602	15215	10017
603	15238	9990
604	15261	9964
605	15283	9936
606	15305	9909
607	15329	9883
608	15354	9858
609	15379	9832
610	15404	9807
611	15428	9781
612	15453	9755
613	15477	9730
614	15503	9705
615	15528	9680
616	15554	9655
617	15579	9629
618	15602	9603
619	15627	9578
620	15651	9552
621	15674	9525
622	15697	9499
623	15718	9471
624	15740	9444
625	15763	9417
626	15784	9390
627	15808	9364
628	15830	9337
629	15852	9310
630	15875	9283
631	15898	9257
632	15921	9231
633	15943	9204
634	15966	9177
635	15990	9151
636	16011	9124
637	16036	9099
638	16060	9073
639	16083	9046
640	16106	9020
641	16129	8994
642	16152	8968
643	16175	8941
644	16199	8915
645	16220	8888
646	16244	8862
647	16266	8836
648	16290	8810
649	16314	8784
650	16336	8758
651	16360	8732
652	16387	8707
653	16409	8681
654	16434	8656
655	16456	8629
656	16482	8604
657	16505	8579
658	16529	8553
659	16552	8526
660	16576	8501
661	16600	8475
662	16622	8449
663	16646	8423
664	16669	8397
665	16692	8371
666	16714	8344
667	16739	8319
668	16762	8293
669	16787	8268
670	16813	8243
671	16839	8219
